"Hugo_Symbol","Percent_Mut","Percent_AMP","Percent_DEL","Percent_AnyAlteration"
"ADAM32",0.586510263929619,0,0,0.586510263929619
"ADAM33",0.879765395894428,0,0,0.879765395894428
"ADAM7",1.75953079178886,0,0,1.75953079178886
"ADAM8",0.293255131964809,0,4.39882697947214,4.69208211143695
"ADAM9",0.293255131964809,0,0,0.293255131964809
"ADAMDEC1",0.879765395894428,0,0,0.879765395894428
"ADAMTS1",0.586510263929619,0.293255131964809,0,0.879765395894428
"ADAMTS10",1.46627565982405,0.293255131964809,0,1.75953079178886
"ADAMTS12",2.34604105571848,0.293255131964809,0,2.63929618768328
"ADAMTS13",0.586510263929619,0.293255131964809,0,0.879765395894428
"ADAMTS14",0.293255131964809,0,0.293255131964809,0.586510263929619
"ADAMTS15",1.75953079178886,0.293255131964809,0,2.05278592375367
"ADAMTS16",2.34604105571848,0.293255131964809,0.293255131964809,2.93255131964809
"ADAMTS17",0.293255131964809,0,0,0.293255131964809
"ADAMTS18",0.879765395894428,0,0,0.879765395894428
"ADAMTS19",1.75953079178886,0,0.293255131964809,2.05278592375367
"ADAMTS2",2.05278592375367,0,0.293255131964809,2.34604105571848
"ADAMTS20",1.46627565982405,0.586510263929619,0.293255131964809,2.05278592375367
"ADAMTS3",1.17302052785924,0,0.293255131964809,1.46627565982405
"ADAMTS4",0.586510263929619,0,0,0.586510263929619
"ADAMTS5",0.586510263929619,0.293255131964809,0,0.879765395894428
"ADAMTS7",1.75953079178886,0,0,1.75953079178886
"ADAMTS8",1.17302052785924,0.293255131964809,0,1.46627565982405
"ADAMTS9",0.586510263929619,0.293255131964809,0,0.879765395894428
"ADAMTSL1",1.46627565982405,0,1.46627565982405,2.93255131964809
"ADAMTSL2",0.293255131964809,0.293255131964809,0,0.586510263929619
"ADAMTSL3",1.17302052785924,0,0,1.17302052785924
"ADAMTSL4",0.586510263929619,0,0,0.586510263929619
"ADAP1",0.586510263929619,2.05278592375367,0,2.63929618768328
"ADAP2",0.293255131964809,0,0.293255131964809,0.586510263929619
"ADARB1",0.293255131964809,0,0.293255131964809,0.586510263929619
"ADARB2",0.879765395894428,0.293255131964809,0.879765395894428,2.05278592375367
"ADAT3",0.293255131964809,0.586510263929619,0,0.879765395894428
"ADC",0.879765395894428,0.293255131964809,0.293255131964809,1.46627565982405
"ADCK1",0.293255131964809,0,0,0.293255131964809
"ADCK2",0.586510263929619,0.586510263929619,0,1.17302052785924
"ADCK4",0.293255131964809,0.293255131964809,0,0.586510263929619
"ADCK5",0.293255131964809,0.586510263929619,0,0.879765395894428
"ADCY1",0.879765395894428,2.93255131964809,0,3.81231671554252
"ADCY10",1.17302052785924,0,0,1.17302052785924
"ADCY2",1.46627565982405,0.586510263929619,0,2.05278592375367
"ADCY3",1.17302052785924,0,0,1.17302052785924
"ADCY4",0.879765395894428,0,0.293255131964809,1.17302052785924
"ADCY5",2.34604105571848,0,0,2.34604105571848
"ADCY6",0.586510263929619,0.586510263929619,0.293255131964809,1.46627565982405
"ADCY7",0.293255131964809,0.293255131964809,0.293255131964809,0.879765395894428
"ADCY8",0.586510263929619,0.879765395894428,0.293255131964809,1.46627565982405
"ADCY9",1.17302052785924,0.586510263929619,0.293255131964809,2.05278592375367
"ADCYAP1R1",1.17302052785924,2.34604105571848,0,3.51906158357771
"ADD1",0.586510263929619,0,0,0.586510263929619
"ADD2",0.879765395894428,0.293255131964809,0,1.17302052785924
"ADD3",0.293255131964809,0,0.293255131964809,0.586510263929619
"ADH1A",0.879765395894428,0,0,0.879765395894428
"ADH1B",0.586510263929619,0,0,0.586510263929619
"ADH5",0.293255131964809,0,0,0.293255131964809
